feature,mean_importance
feature_369,-0.014144325767187294
feature_261,-0.013968785413605845
feature_51,-0.01267205826063158
feature_196,-0.008315150047788978
feature_506,-0.007858434939929881
feature_302,-0.004498665649628508
feature_514,-0.004441738960085218
feature_441,-0.004215987260192899
feature_132,-0.0035339518171226382
feature_105,-0.0027590228425893094
feature_345,-0.002658471550315378
feature_147,-0.002468448282960467
feature_443,-0.0023811760827014083
feature_445,-0.0021510337623975363
feature_15,-0.002129201702713179
feature_129,-0.0021066794472685223
feature_87,-0.0020258905040457355
feature_371,-0.0017675906818469755
feature_113,-0.0017452385776486334
feature_256,-0.001609397859823214
feature_38,-0.0016092106336981216
feature_253,-0.0015286271418417207
feature_496,-0.0014845370560141458
feature_450,-0.0013746968158848017
feature_102,-0.0013550670894180161
feature_508,-0.0013430477030035748
feature_285,-0.0012648257582305255
feature_398,-0.001241018736282462
feature_258,-0.0012241952115392917
feature_420,-0.0011925466570073206
feature_215,-0.001187776625888781
feature_138,-0.001187141945816883
feature_442,-0.001147587265558636
feature_49,-0.0011416224627082583
feature_222,-0.0011285572344665207
feature_382,-0.0010519651848888145
feature_492,-0.0010184301855878709
feature_512,-0.001017772777551329
feature_260,-0.001011162666309695
feature_134,-0.0009725981778731186
feature_319,-0.0009716051489015553
feature_276,-0.0009115184106993412
feature_81,-0.0009035897271322257
feature_135,-0.0008856149511105027
feature_9,-0.0008753224510857027
feature_452,-0.0008386181119757862
feature_307,-0.0008281552563605965
feature_415,-0.0008119209956398476
feature_477,-0.0007849737998836037
feature_58,-0.0007208002340812092
feature_480,-0.0006911483770597249
feature_116,-0.0006413467492195401
feature_417,-0.0006114291452509191
feature_321,-0.0005963080950225797
feature_341,-0.0005599094703052643
feature_172,-0.0005487864279126731
feature_107,-0.0005304349193912206
feature_122,-0.0005041508503875747
feature_84,-0.000497983127802204
feature_339,-0.0003953242988090855
feature_500,-0.00033247917012078074
feature_468,-0.00030844548485668976
feature_100,-0.00026200089439940564
feature_85,-0.00022097765557707038
feature_372,-0.00021859092049316686
feature_406,-0.00021205917391906582
feature_142,-0.00015318607351162418
feature_361,-0.00012221096046540758
feature_12,-9.88662804473961e-05
feature_299,-9.479316584100061e-05
feature_491,-7.65798121368011e-05
feature_106,-6.450831291855419e-05
feature_13,-6.172659336309839e-05
feature_208,-5.446848500454404e-05
feature_338,0.0
feature_347,0.0
feature_346,0.0
feature_272,0.0
feature_344,0.0
feature_273,0.0
feature_342,0.0
feature_275,0.0
feature_336,0.0
feature_274,0.0
feature_271,0.0
feature_340,0.0
feature_343,0.0
feature_337,0.0
feature_300,0.0
feature_350,0.0
feature_367,0.0
feature_366,0.0
feature_365,0.0
feature_364,0.0
feature_360,0.0
feature_359,0.0
feature_266,0.0
feature_358,0.0
feature_357,0.0
feature_356,0.0
feature_355,0.0
feature_354,0.0
feature_353,0.0
feature_267,0.0
feature_352,0.0
feature_268,0.0
feature_269,0.0
feature_270,0.0
feature_351,0.0
feature_348,0.0
feature_335,0.0
feature_279,0.0
feature_334,0.0
feature_315,0.0
feature_314,0.0
feature_292,0.0
feature_293,0.0
feature_313,0.0
feature_294,0.0
feature_311,0.0
feature_295,0.0
feature_310,0.0
feature_309,0.0
feature_296,0.0
feature_308,0.0
feature_297,0.0
feature_305,0.0
feature_304,0.0
feature_298,0.0
feature_303,0.0
feature_519,0.0
feature_301,0.0
