feature,mean_importance
feature_155,-0.008780002095279293
feature_258,-0.006375838397138867
feature_288,-0.006209663719239566
feature_277,-0.006074281418970174
feature_489,-0.005711628097321198
feature_481,-0.005436241329421066
feature_476,-0.00473294973179752
feature_402,-0.004620533716702457
feature_82,-0.004530831555841663
feature_290,-0.004276003097328873
feature_466,-0.004076082208525134
feature_14,-0.004040612092482498
feature_503,-0.004012392143396171
feature_397,-0.003738226792524202
feature_359,-0.00366942570020079
feature_360,-0.00356395353976402
feature_148,-0.003546176758505659
feature_395,-0.0034390315247653457
feature_418,-0.0034133893160725125
feature_400,-0.0031250452770397396
feature_457,-0.003075083667693357
feature_398,-0.0030127106745938548
feature_230,-0.0029801669455246536
feature_387,-0.0027229925289963706
feature_423,-0.002599950625164671
feature_138,-0.002599857950529638
feature_31,-0.00246262938961217
feature_384,-0.002447218151452635
feature_86,-0.002401706343683796
feature_445,-0.0020948518394568794
feature_297,-0.002031305963487928
feature_196,-0.001987415501670764
feature_509,-0.001903659663824131
feature_283,-0.0019008323292578843
feature_440,-0.0018925246745136182
feature_316,-0.0018254778807726523
feature_234,-0.001693084082884644
feature_37,-0.0016617648345926606
feature_125,-0.0016456440127320393
feature_5,-0.0016119585245819134
feature_450,-0.0015736563429851636
feature_499,-0.0014363959708641127
feature_54,-0.0014298991299665164
feature_237,-0.0013952626990111794
feature_404,-0.001344625618143791
feature_6,-0.0013252914408349303
feature_189,-0.001320383534900893
feature_209,-0.0012912140704936404
feature_507,-0.0012758858623530545
feature_45,-0.0011458617539801485
feature_348,-0.001043959352192103
feature_168,-0.0010182280292643897
feature_42,-0.0009245875386437064
feature_85,-0.000879215358904628
feature_424,-0.0008533608913952717
feature_111,-0.0007966152385691317
feature_514,-0.0007803086633263456
feature_295,-0.0007687571754822597
feature_471,-0.0007197389825998491
feature_60,-0.0006275562104212318
feature_479,-0.0005946274558199516
feature_312,-0.0005753900183161021
feature_108,-0.00045268694818896283
feature_198,-0.0003060842105618855
feature_451,-0.0002950362315843558
feature_364,-0.00027289116810724767
feature_327,-0.00023293159579576005
feature_132,-0.00014244941216425832
feature_192,-0.00013922070040721656
feature_488,-0.00012769747623477822
feature_388,-9.390374860327456e-05
feature_356,0.0
feature_274,0.0
feature_345,0.0
feature_275,0.0
feature_344,0.0
feature_343,0.0
feature_342,0.0
feature_366,0.0
feature_341,0.0
feature_340,0.0
feature_339,0.0
feature_367,0.0
feature_338,0.0
feature_273,0.0
feature_346,0.0
feature_365,0.0
feature_271,0.0
feature_267,0.0
feature_355,0.0
feature_266,0.0
feature_268,0.0
feature_361,0.0
feature_269,0.0
feature_362,0.0
feature_272,0.0
feature_354,0.0
feature_337,0.0
feature_351,0.0
feature_350,0.0
feature_349,0.0
feature_270,0.0
feature_265,0.0
feature_357,0.0
feature_353,0.0
feature_352,0.0
feature_331,0.0
feature_335,0.0
feature_286,0.0
feature_313,0.0
feature_311,0.0
feature_287,0.0
feature_310,0.0
feature_309,0.0
feature_308,0.0
feature_307,0.0
feature_306,0.0
feature_305,0.0
feature_303,0.0
feature_301,0.0
feature_299,0.0
feature_298,0.0
feature_296,0.0
feature_289,0.0
feature_294,0.0
feature_293,0.0
feature_292,0.0
feature_314,0.0
feature_368,0.0
feature_315,0.0
feature_285,0.0
feature_334,0.0
feature_276,0.0
feature_278,0.0
feature_333,0.0
feature_291,0.0
feature_279,0.0
feature_330,0.0
feature_329,0.0
feature_328,0.0
feature_336,0.0
feature_280,0.0
feature_325,0.0
feature_323,0.0
feature_322,0.0
feature_321,0.0
feature_282,0.0
feature_320,0.0
feature_319,0.0
feature_284,0.0
feature_318,0.0
feature_326,0.0
feature_1,0.0
feature_391,0.0
feature_370,0.0
feature_474,0.0
feature_473,0.0
feature_472,0.0
feature_470,0.0
feature_469,0.0
feature_468,0.0
feature_467,0.0
feature_465,0.0
feature_464,0.0
feature_463,0.0
feature_462,0.0
feature_461,0.0
feature_460,0.0
feature_459,0.0
feature_458,0.0
feature_456,0.0
feature_454,0.0
feature_453,0.0
feature_452,0.0
feature_449,0.0
feature_448,0.0
feature_446,0.0
feature_444,0.0
feature_475,0.0
feature_443,0.0
feature_480,0.0
feature_483,0.0
feature_519,0.0
feature_518,0.0
feature_517,0.0
feature_515,0.0
feature_513,0.0
feature_511,0.0
feature_510,0.0
feature_506,0.0
feature_505,0.0
feature_504,0.0
feature_502,0.0
feature_501,0.0
feature_500,0.0
feature_497,0.0
feature_496,0.0
feature_495,0.0
feature_494,0.0
feature_493,0.0
feature_491,0.0
feature_490,0.0
feature_487,0.0
feature_485,0.0
feature_484,0.0
feature_482,0.0
feature_369,0.0
feature_442,0.0
feature_439,0.0
feature_405,0.0
feature_403,0.0
feature_399,0.0
feature_396,0.0
feature_394,0.0
feature_393,0.0
feature_392,0.0
feature_263,0.0
feature_390,0.0
feature_389,0.0
feature_385,0.0
feature_383,0.0
feature_382,0.0
feature_381,0.0
feature_380,0.0
feature_379,0.0
feature_378,0.0
feature_377,0.0
feature_376,0.0
feature_375,0.0
feature_373,0.0
feature_372,0.0
feature_371,0.0
feature_406,0.0
feature_441,0.0
feature_408,0.0
feature_410,0.0
feature_438,0.0
feature_437,0.0
feature_436,0.0
feature_435,0.0
feature_434,0.0
feature_433,0.0
feature_432,0.0
feature_431,0.0
feature_430,0.0
feature_429,0.0
feature_428,0.0
feature_427,0.0
feature_426,0.0
feature_422,0.0
feature_420,0.0
feature_419,0.0
feature_417,0.0
feature_416,0.0
feature_415,0.0
feature_414,0.0
feature_413,0.0
feature_412,0.0
feature_411,0.0
feature_409,0.0
feature_262,0.0
feature_261,0.0
feature_260,0.0
feature_109,0.0
feature_107,0.0
feature_106,0.0
feature_105,0.0
feature_104,0.0
feature_103,0.0
feature_101,0.0
feature_100,0.0
feature_98,0.0
feature_97,0.0
feature_95,0.0
feature_94,0.0
feature_93,0.0
feature_92,0.0
feature_91,0.0
feature_90,0.0
feature_89,0.0
feature_84,0.0
feature_83,0.0
feature_81,0.0
feature_79,0.0
feature_78,0.0
feature_77,0.0
feature_110,0.0
feature_112,0.0
feature_113,0.0
feature_114,0.0
feature_144,0.0
feature_143,0.0
feature_142,0.0
feature_141,0.0
feature_139,0.0
feature_137,0.0
feature_136,0.0
feature_135,0.0
feature_134,0.0
feature_133,0.0
feature_131,0.0
feature_75,0.0
feature_129,0.0
feature_127,0.0
feature_126,0.0
feature_124,0.0
feature_123,0.0
feature_122,0.0
feature_121,0.0
feature_120,0.0
feature_119,0.0
feature_118,0.0
feature_116,0.0
feature_115,0.0
feature_128,0.0
feature_74,0.0
feature_72,0.0
feature_71,0.0
feature_30,0.0
feature_29,0.0
feature_28,0.0
feature_27,0.0
feature_25,0.0
feature_24,0.0
feature_22,0.0
feature_21,0.0
feature_20,0.0
feature_19,0.0
feature_18,0.0
feature_32,0.0
feature_17,0.0
feature_15,0.0
feature_13,0.0
feature_12,0.0
feature_11,0.0
feature_10,0.0
feature_9,0.0
feature_8,0.0
feature_7,0.0
feature_4,0.0
feature_3,0.0
feature_2,0.0
feature_16,0.0
feature_146,0.0
feature_33,0.0
feature_35,0.0
feature_70,0.0
feature_69,0.0
feature_68,0.0
feature_65,0.0
feature_62,0.0
feature_61,0.0
feature_59,0.0
feature_58,0.0
feature_57,0.0
feature_56,0.0
feature_55,0.0
feature_34,0.0
feature_52,0.0
feature_50,0.0
feature_49,0.0
feature_48,0.0
feature_47,0.0
feature_46,0.0
feature_44,0.0
feature_43,0.0
feature_40,0.0
feature_39,0.0
feature_38,0.0
feature_36,0.0
feature_51,0.0
feature_147,0.0
feature_130,0.0
feature_521,0.0
feature_218,0.0
feature_217,0.0
feature_259,0.0
feature_215,0.0
feature_214,0.0
feature_213,0.0
feature_212,0.0
feature_211,0.0
feature_210,0.0
feature_208,0.0
feature_207,0.0
feature_220,0.0
feature_150,0.0
feature_205,0.0
feature_255,0.0
feature_204,0.0
feature_203,0.0
feature_202,0.0
feature_201,0.0
feature_200,0.0
feature_199,0.0
feature_197,0.0
feature_195,0.0
feature_194,0.0
feature_206,0.0
feature_193,0.0
feature_221,0.0
feature_224,0.0
feature_252,0.0
feature_251,0.0
feature_250,0.0
feature_249,0.0
feature_248,0.0
feature_247,0.0
feature_246,0.0
feature_245,0.0
feature_244,0.0
feature_243,0.0
feature_241,0.0
feature_223,0.0
feature_240,0.0
feature_238,0.0
feature_236,0.0
