feature,mean_importance
feature_143,-0.009160248447932794
feature_115,-0.00884580221536091
feature_381,-0.0077320135386714115
feature_484,-0.007397571465916397
feature_481,-0.006783759048601246
feature_501,-0.006252335657636543
feature_2,-0.005602668389332077
feature_194,-0.005157946474402442
feature_28,-0.005000720088922206
feature_357,-0.0037820562327646632
feature_444,-0.003755793179035294
feature_139,-0.00369595586118896
feature_453,-0.003496147439722752
feature_449,-0.0034456424166832366
feature_31,-0.0033851294365420336
feature_107,-0.00333540382187818
feature_266,-0.0030129424367965284
feature_363,-0.002983703859149167
feature_33,-0.0027643044071472777
feature_170,-0.0027019507002586486
feature_50,-0.0026847521162757905
feature_300,-0.0023342868288936947
feature_486,-0.0022999258245854693
feature_505,-0.0019105213214851257
feature_56,-0.0016538072806367098
feature_218,-0.001587931328963843
feature_49,-0.0014156787734664444
feature_431,-0.0013995936208085924
feature_74,-0.0013764950286742294
feature_249,-0.0013611951107713293
feature_116,-0.0012394983050606268
feature_379,-0.0011710845130919578
feature_164,-0.0009926557096749723
feature_466,-0.0006873340939377081
feature_135,-0.0006363747372075013
feature_463,-0.00046533297261155406
feature_313,-0.0004291757065647106
feature_223,-0.0002928239750896289
feature_246,-0.00024296173442774904
feature_136,-0.00023271722936153428
feature_271,-0.00018719204984938287
feature_228,-0.0001477286800129596
feature_144,-6.498454685006649e-05
feature_103,-6.156943020005912e-05
feature_332,0.0
feature_347,0.0
feature_348,0.0
feature_346,0.0
feature_334,0.0
feature_340,0.0
feature_335,0.0
feature_344,0.0
feature_336,0.0
feature_337,0.0
feature_338,0.0
feature_342,0.0
feature_333,0.0
feature_345,0.0
feature_360,0.0
feature_351,0.0
feature_382,0.0
feature_380,0.0
feature_378,0.0
feature_377,0.0
feature_376,0.0
feature_375,0.0
feature_374,0.0
feature_373,0.0
feature_372,0.0
feature_371,0.0
feature_370,0.0
feature_369,0.0
feature_368,0.0
feature_367,0.0
feature_366,0.0
feature_365,0.0
feature_364,0.0
feature_362,0.0
feature_361,0.0
feature_331,0.0
feature_359,0.0
feature_355,0.0
feature_353,0.0
feature_350,0.0
feature_329,0.0
feature_261,0.0
feature_326,0.0
feature_288,0.0
feature_287,0.0
feature_286,0.0
feature_285,0.0
feature_284,0.0
feature_283,0.0
feature_282,0.0
feature_281,0.0
feature_280,0.0
feature_279,0.0
feature_278,0.0
feature_289,0.0
feature_277,0.0
feature_275,0.0
feature_274,0.0
feature_273,0.0
feature_272,0.0
feature_270,0.0
feature_269,0.0
feature_268,0.0
feature_267,0.0
feature_265,0.0
feature_264,0.0
feature_263,0.0
feature_276,0.0
feature_290,0.0
feature_291,0.0
feature_292,0.0
feature_324,0.0
feature_322,0.0
feature_321,0.0
feature_320,0.0
feature_319,0.0
feature_318,0.0
feature_317,0.0
feature_315,0.0
feature_314,0.0
feature_312,0.0
feature_311,0.0
feature_310,0.0
feature_309,0.0
feature_307,0.0
feature_306,0.0
feature_305,0.0
feature_304,0.0
feature_303,0.0
feature_302,0.0
feature_299,0.0
feature_298,0.0
feature_297,0.0
feature_296,0.0
feature_294,0.0
feature_293,0.0
feature_328,0.0
feature_316,0.0
feature_397,0.0
feature_386,0.0
feature_488,0.0
feature_487,0.0
feature_485,0.0
feature_483,0.0
feature_482,0.0
feature_480,0.0
feature_479,0.0
feature_478,0.0
feature_477,0.0
feature_476,0.0
feature_475,0.0
feature_474,0.0
feature_473,0.0
feature_472,0.0
feature_471,0.0
feature_470,0.0
