feature,mean_importance
feature_175,-0.06522189082571161
feature_85,-0.05789594278679311
feature_261,-0.0457193237663537
feature_504,-0.04328149356661792
feature_396,-0.04182137303504874
feature_405,-0.0382674394512116
feature_361,-0.03636065932207906
feature_385,-0.03632696841695719
feature_4,-0.034944145692221304
feature_487,-0.033993193852450254
feature_138,-0.032531601568383105
feature_179,-0.02932498877964167
feature_123,-0.029312356483183023
feature_98,-0.028501228987097928
feature_166,-0.028102760069330525
feature_128,-0.027898759737729727
feature_6,-0.02766039460293568
feature_170,-0.027130334301941873
feature_115,-0.026183619474663543
feature_199,-0.025612321519575376
feature_195,-0.024323777762002275
feature_322,-0.024296599346000303
feature_69,-0.023792399854690373
feature_457,-0.023560634727249542
feature_106,-0.02250749130661327
feature_458,-0.02192312229942841
feature_404,-0.02064631231294749
feature_12,-0.02010383665050628
feature_118,-0.01918606864315233
feature_19,-0.01914615868503362
feature_101,-0.019104643720921466
feature_42,-0.018793500439414988
feature_474,-0.018583134632482335
feature_241,-0.018161921463774888
feature_30,-0.017935495051359364
feature_476,-0.017653707985274547
feature_456,-0.017340665107475894
feature_305,-0.017242726921126782
feature_72,-0.017237182453319465
feature_273,-0.016912683583581067
feature_133,-0.01690369922929853
feature_210,-0.01678081250502097
feature_92,-0.01673341316088406
feature_169,-0.01640741278939948
feature_295,-0.01638132601115063
feature_38,-0.016356484762622258
feature_441,-0.01622154384147958
feature_367,-0.01589116424947736
feature_347,-0.015160808322075914
feature_475,-0.01462269692891378
feature_432,-0.01453552763774928
feature_73,-0.01450074315504879
feature_471,-0.014419814717349233
feature_154,-0.014208389307952273
feature_390,-0.013941388981920256
feature_366,-0.013025614767507899
feature_371,-0.012890786237875585
feature_414,-0.012626986423181696
feature_313,-0.012505561557036549
feature_470,-0.012456831065926011
feature_9,-0.01242007549722195
feature_426,-0.012062079406615744
feature_451,-0.011970844523859903
feature_95,-0.011938694512937298
feature_259,-0.011921267159975723
feature_221,-0.011842956726377496
feature_53,-0.011424641310909278
feature_183,-0.011348580067957137
feature_159,-0.010894133925966632
feature_5,-0.010839553495723252
feature_516,-0.010744493994492066
feature_360,-0.010620234452230903
feature_107,-0.010535537298374998
feature_20,-0.010442674214485193
feature_200,-0.010300405677180047
feature_484,-0.010274402876802036
feature_423,-0.01004264773647261
feature_113,-0.009865344230509976
feature_288,-0.00980195178875074
feature_269,-0.009778009020999212
feature_91,-0.00955305516331415
feature_184,-0.009531833302118908
feature_436,-0.009530642704988379
feature_387,-0.009518126396332427
feature_132,-0.009401058335928835
feature_226,-0.009316773150635926
feature_450,-0.009239845170644134
feature_301,-0.009157194324967356
feature_18,-0.009152836799080522
feature_49,-0.009123168952398597
feature_368,-0.008918211993273629
feature_104,-0.008787157271705403
feature_71,-0.008531536637000459
feature_253,-0.008480110875608914
feature_245,-0.008342360089910406
feature_330,-0.008045473405642944
feature_150,-0.007934243346913483
feature_37,-0.007867339730811995
feature_34,-0.007805967139464664
feature_165,-0.00771672391341176
feature_21,-0.007644474628548492
feature_80,-0.007484391271954616
feature_401,-0.007370787999066186
feature_151,-0.007348378734305916
feature_239,-0.007225878738374769
feature_357,-0.006959765351444913
feature_223,-0.006923759285056308
feature_467,-0.006911045998628041
feature_443,-0.006850041954014419
feature_8,-0.006765729697525114
feature_265,-0.006703654159725847
feature_312,-0.006614456138666647
feature_296,-0.0066000826421178434
feature_491,-0.0065977623342718065
feature_336,-0.006447775972175007
feature_410,-0.006120523961181989
feature_446,-0.006099943107606753
feature_319,-0.006091751460356764
feature_248,-0.005969170115045941
feature_498,-0.005898467581194033
feature_397,-0.005683596049076245
feature_160,-0.005676405807904317
feature_197,-0.005598174665270861
feature_521,-0.005598065855530221
feature_82,-0.005483587877757578
feature_339,-0.005443181420525756
feature_412,-0.005277279624446152
feature_68,-0.00514951463557356
feature_83,-0.005128098628309719
feature_61,-0.005105349890896926
feature_121,-0.005000161474236364
