feature,mean_importance
feature_249,-0.03278890992069412
feature_13,-0.03092956656919852
feature_221,-0.02971308546316025
feature_310,-0.02727284314966507
feature_197,-0.024194994055554763
feature_44,-0.02370983683886534
feature_56,-0.023279698713222486
feature_174,-0.023148869949255736
feature_325,-0.02280121316017536
feature_147,-0.022334693975162613
feature_79,-0.021918710672344188
feature_8,-0.0212442286095472
feature_72,-0.021154394913329044
feature_273,-0.020813283998317368
feature_346,-0.020404421065789925
feature_185,-0.020314818194794436
feature_138,-0.020222975063356907
feature_229,-0.019648272415812552
feature_362,-0.019205075283938822
feature_33,-0.018948556740339174
feature_199,-0.018704003546446125
feature_447,-0.0184921105987911
feature_250,-0.01808206151846483
feature_496,-0.01782574561094674
feature_289,-0.01706935056913843
feature_184,-0.01702013350833691
feature_52,-0.016824774694428734
feature_116,-0.016596559067245352
feature_210,-0.01659539132180656
feature_37,-0.016481137302258687
feature_68,-0.01624225703857367
feature_120,-0.015686268217139077
feature_241,-0.015633749716577584
feature_104,-0.015433678032483123
feature_78,-0.015193639664212055
feature_352,-0.015099258513231018
feature_514,-0.015002714458738131
feature_476,-0.01499058313212962
feature_288,-0.014822399925715813
feature_16,-0.014773934213527884
feature_498,-0.014494387215317461
feature_5,-0.014454469986238028
feature_193,-0.01432070376975556
feature_487,-0.014315342673592158
feature_24,-0.014045170011835851
feature_497,-0.014034587908519436
feature_321,-0.013975286701389589
feature_351,-0.013686946461577509
feature_236,-0.013682096012404488
feature_136,-0.013581260978692366
feature_317,-0.013073638061480607
feature_448,-0.01305432757929328
feature_309,-0.012949815580307078
feature_353,-0.012846276430419846
feature_55,-0.012845413046468935
feature_112,-0.012672069924661944
feature_53,-0.012530764750379841
feature_414,-0.012369352208455631
feature_247,-0.012355416140907582
feature_287,-0.012325053603020785
feature_489,-0.01226375378858302
feature_424,-0.012104138219904303
feature_516,-0.011930210534932106
feature_69,-0.011704204818570796
feature_183,-0.011624357414544439
feature_123,-0.01156313785103671
feature_167,-0.011503307482606574
feature_441,-0.011325259918248776
feature_505,-0.011215146928120534
feature_349,-0.011180554806988808
feature_510,-0.011160206348295709
feature_94,-0.011086494565623672
feature_271,-0.011058941851975623
feature_296,-0.01089545816062465
feature_451,-0.01039951831243049
feature_224,-0.010359175927412156
feature_215,-0.010195888874342262
feature_292,-0.010067594139286883
feature_470,-0.010003388389165924
feature_450,-0.009977211540893682
feature_132,-0.009932063379697898
feature_82,-0.009868348863318444
feature_206,-0.009806986945263895
feature_504,-0.009723984631224303
feature_20,-0.00957938386147461
feature_150,-0.00954601657448637
feature_276,-0.009533897213272535
feature_49,-0.009415055831653474
feature_218,-0.009333466082081455
feature_412,-0.009331752642038716
feature_295,-0.009158339076151689
feature_153,-0.009077772837371479
feature_320,-0.009059123884363317
feature_413,-0.00905355467694382
feature_260,-0.009030585339306807
feature_164,-0.00890058704345149
feature_163,-0.008871189359419019
feature_411,-0.008687357109465933
feature_265,-0.008668345039155456
feature_97,-0.008459584624264238
feature_141,-0.008126706016060936
feature_428,-0.008017181704007115
feature_486,-0.007919533560282143
feature_85,-0.007817755651246473
feature_9,-0.007795778829038235
feature_166,-0.007780910751074144
feature_269,-0.007759582098315665
feature_61,-0.007749167703106341
feature_195,-0.007679914565115053
feature_401,-0.0076315586847528925
feature_392,-0.007627869627394768
feature_357,-0.007621574841504275
feature_501,-0.007592173233051902
feature_285,-0.007567501618249928
feature_216,-0.007564001307634571
feature_326,-0.007501658543147771
feature_436,-0.0074954496169638675
feature_485,-0.007492718138802035
feature_158,-0.00747919830298045
feature_254,-0.007435024371024479
feature_301,-0.007340556366794537
feature_443,-0.00732332823697881
feature_25,-0.007296291818972467
feature_21,-0.00728084194722971
feature_23,-0.007273670363688334
feature_465,-0.0071704804619655785
feature_179,-0.007109864520377274
feature_191,-0.0070297941503099535
feature_4,-0.006953944473392815
feature_36,-0.006942076786387474
feature_427,-0.006936232046917246
feature_313,-0.006885706649486201
feature_223,-0.006856966021498057
feature_245,-0.006810007776517501
feature_7,-0.006736652766069051
feature_278,-0.0067134764336749695
feature_336,-0.006663290568151093
feature_473,-0.006661062160165665
feature_205,-0.006638564363181309
feature_175,-0.006509674716898406
feature_19,-0.006427315431058567
feature_431,-0.006426217741019258
feature_507,-0.006404356833820258
feature_354,-0.00636718720739129
feature_367,-0.006243018561191116
feature_30,-0.006150687271302635
feature_477,-0.006110443409037991
feature_264,-0.006005613074950444
feature_148,-0.005946477066253841
feature_422,-0.005853854132567271
feature_347,-0.0057662301794239035
feature_515,-0.00572898867820455
feature_509,-0.005725320626952435
feature_137,-0.00563013856632395
feature_456,-0.0055994910141390795
feature_364,-0.005588499254812351
feature_70,-0.005580592226706216
feature_242,-0.005578246144833177
feature_134,-0.005574729831098635
feature_315,-0.005541828435324225
feature_48,-0.005455948947066425
feature_405,-0.005340566821495018
feature_463,-0.005311879063018665
feature_435,-0.0052904329658159275
feature_331,-0.005281908950890113
feature_244,-0.005216976508912552
feature_319,-0.005149133102410453
feature_238,-0.005116848748705482
feature_517,-0.005089128440932633
feature_96,-0.005064865678290964
feature_409,-0.005063078441357227
feature_176,-0.005058448269709403
feature_1,-0.005025773366367758
feature_186,-0.004997094181847217
feature_65,-0.004947500147988127
feature_322,-0.00484307385796714
feature_390,-0.004788320738684027
feature_248,-0.004730726809395102
feature_345,-0.004633611038870056
feature_50,-0.004618365302866678
