feature,mean_importance
feature_386,-0.0076580385744366986
feature_265,-0.0036671332184767813
feature_226,-0.00303654210882347
feature_517,-0.002812033420192406
feature_258,-0.0025972385385925278
feature_325,-0.002571547795285367
feature_11,-0.0025408142149283774
feature_391,-0.0023103560816885695
feature_235,-0.001996729940864905
feature_100,-0.001828716219632387
feature_169,-0.0016478942259202211
feature_333,-0.0016257304910995752
feature_381,-0.0014599640356759425
feature_2,-0.001425300243295302
feature_32,-0.001351892976603719
feature_25,-0.0012704499510814316
feature_375,-0.0012353478502148852
feature_173,-0.0011402888486586437
feature_335,-0.0011376352702714642
feature_444,-0.0010582104769170987
feature_451,-0.0010569407488321136
feature_464,-0.0010562068417759418
feature_298,-0.0009667357720136493
feature_7,-0.000905195007972126
feature_132,-0.0008840320184216654
feature_214,-0.0008741309538108366
feature_79,-0.0008168396632863839
feature_395,-0.0008052349537308378
feature_416,-0.0007799262437835353
feature_460,-0.0007498712697404653
feature_228,-0.000718940594978923
feature_198,-0.0006873078259309384
feature_69,-0.0006558184764321017
feature_91,-0.0006417272636243699
feature_320,-0.0006335416999269095
feature_291,-0.0006172290399072855
feature_6,-0.000603790054188913
feature_432,-0.0005484868800290199
feature_233,-0.0005083418830792441
feature_465,-0.0004941987561035699
feature_508,-0.0003679620428012065
feature_305,-0.0003406734216067298
feature_419,-0.0003269272252229394
feature_259,-0.00027914225210363687
feature_256,-0.00027727991005876973
feature_14,-0.00026854228201582674
feature_452,-0.00026140555438181057
feature_413,-0.0002533329903572579
feature_38,-0.00017006173355385012
feature_5,-0.00016020806130585542
feature_88,-0.00013565177982213238
feature_369,-0.00012910589178347643
feature_114,-0.00011901008515133871
feature_294,-0.00010222721849184602
feature_406,-8.594591378412453e-05
feature_266,-7.019282174480779e-05
feature_240,-6.847988540503724e-05
feature_402,-5.358359067288987e-05
feature_126,-5.357817049032043e-05
feature_520,-3.993298458200289e-05
feature_21,-3.8372241279316376e-05
feature_385,-3.586476347867684e-05
feature_297,-2.738567366902256e-05
feature_372,-2.4376516408208816e-05
feature_75,-2.2888712053115155e-05
feature_51,-2.0075622124915427e-05
feature_515,-1.8587563558702946e-05
feature_124,-1.185948567496986e-05
feature_231,-6.900749490368341e-06
feature_139,-3.6210842864869973e-06
feature_511,-2.8389640518211578e-06
feature_359,0.0
feature_346,0.0
feature_366,0.0
feature_267,0.0
feature_260,0.0
feature_367,0.0
feature_345,0.0
feature_344,0.0
feature_343,0.0
feature_342,0.0
feature_341,0.0
feature_368,0.0
feature_340,0.0
feature_348,0.0
feature_365,0.0
feature_364,0.0
feature_360,0.0
feature_350,0.0
feature_351,0.0
feature_362,0.0
feature_353,0.0
feature_361,0.0
feature_264,0.0
feature_339,0.0
feature_354,0.0
feature_355,0.0
feature_263,0.0
feature_262,0.0
feature_356,0.0
feature_358,0.0
feature_349,0.0
feature_268,0.0
feature_296,0.0
feature_337,0.0
feature_315,0.0
feature_313,0.0
feature_312,0.0
feature_311,0.0
feature_310,0.0
feature_285,0.0
feature_287,0.0
feature_288,0.0
feature_309,0.0
feature_307,0.0
feature_306,0.0
feature_289,0.0
feature_304,0.0
feature_290,0.0
feature_301,0.0
feature_300,0.0
feature_292,0.0
feature_293,0.0
feature_299,0.0
feature_316,0.0
feature_284,0.0
feature_317,0.0
feature_318,0.0
feature_269,0.0
feature_295,0.0
feature_271,0.0
feature_334,0.0
feature_274,0.0
feature_332,0.0
feature_331,0.0
feature_330,0.0
feature_329,0.0
feature_338,0.0
feature_328,0.0
feature_275,0.0
feature_324,0.0
feature_276,0.0
feature_277,0.0
feature_323,0.0
feature_321,0.0
feature_280,0.0
feature_319,0.0
feature_281,0.0
feature_326,0.0
feature_270,0.0
feature_261,0.0
feature_371,0.0
feature_480,0.0
feature_479,0.0
feature_478,0.0
feature_477,0.0
feature_476,0.0
feature_475,0.0
feature_474,0.0
feature_473,0.0
feature_472,0.0
feature_471,0.0
feature_481,0.0
feature_470,0.0
feature_467,0.0
feature_466,0.0
feature_463,0.0
feature_462,0.0
feature_459,0.0
feature_458,0.0
feature_456,0.0
feature_455,0.0
feature_454,0.0
feature_450,0.0
feature_469,0.0
feature_482,0.0
feature_484,0.0
feature_485,0.0
feature_519,0.0
feature_518,0.0
feature_514,0.0
feature_513,0.0
feature_512,0.0
feature_510,0.0
feature_507,0.0
feature_505,0.0
feature_504,0.0
feature_503,0.0
feature_501,0.0
feature_500,0.0
feature_499,0.0
feature_498,0.0
feature_497,0.0
feature_495,0.0
feature_494,0.0
feature_493,0.0
feature_492,0.0
feature_490,0.0
feature_489,0.0
feature_488,0.0
feature_487,0.0
feature_449,0.0
feature_370,0.0
feature_448,0.0
feature_446,0.0
feature_407,0.0
feature_405,0.0
feature_404,0.0
feature_403,0.0
feature_401,0.0
feature_400,0.0
feature_399,0.0
feature_398,0.0
feature_397,0.0
feature_393,0.0
feature_408,0.0
feature_392,0.0
feature_389,0.0
feature_388,0.0
feature_384,0.0
feature_382,0.0
feature_380,0.0
feature_379,0.0
feature_378,0.0
feature_377,0.0
feature_374,0.0
feature_373,0.0
feature_390,0.0
feature_410,0.0
feature_411,0.0
feature_412,0.0
feature_445,0.0
feature_443,0.0
feature_438,0.0
feature_437,0.0
feature_436,0.0
feature_435,0.0
feature_434,0.0
feature_433,0.0
feature_431,0.0
feature_430,0.0
feature_429,0.0
feature_428,0.0
feature_427,0.0
feature_426,0.0
feature_425,0.0
feature_424,0.0
feature_423,0.0
feature_422,0.0
feature_420,0.0
feature_418,0.0
feature_417,0.0
feature_415,0.0
feature_414,0.0
feature_447,0.0
feature_394,0.0
feature_521,0.0
feature_255,0.0
feature_115,0.0
feature_113,0.0
feature_112,0.0
feature_111,0.0
feature_110,0.0
feature_109,0.0
feature_105,0.0
feature_104,0.0
feature_102,0.0
feature_99,0.0
feature_98,0.0
feature_97,0.0
feature_95,0.0
feature_94,0.0
feature_93,0.0
feature_92,0.0
feature_90,0.0
feature_89,0.0
feature_87,0.0
feature_86,0.0
feature_85,0.0
feature_84,0.0
feature_83,0.0
feature_116,0.0
feature_117,0.0
feature_119,0.0
feature_120,0.0
feature_151,0.0
feature_150,0.0
feature_149,0.0
feature_148,0.0
feature_147,0.0
feature_146,0.0
feature_145,0.0
feature_144,0.0
feature_143,0.0
feature_142,0.0
feature_138,0.0
feature_81,0.0
feature_137,0.0
feature_257,0.0
feature_133,0.0
feature_131,0.0
feature_130,0.0
feature_129,0.0
feature_128,0.0
feature_127,0.0
feature_125,0.0
feature_123,0.0
feature_122,0.0
feature_121,0.0
feature_136,0.0
feature_80,0.0
feature_78,0.0
feature_76,0.0
feature_41,0.0
feature_40,0.0
feature_39,0.0
feature_37,0.0
feature_36,0.0
feature_35,0.0
feature_34,0.0
feature_33,0.0
feature_30,0.0
feature_28,0.0
feature_26,0.0
feature_42,0.0
feature_24,0.0
feature_20,0.0
feature_17,0.0
feature_16,0.0
feature_15,0.0
feature_13,0.0
feature_12,0.0
feature_10,0.0
feature_9,0.0
feature_8,0.0
feature_4,0.0
feature_3,0.0
feature_22,0.0
feature_152,0.0
feature_43,0.0
feature_45,0.0
feature_74,0.0
feature_73,0.0
feature_72,0.0
feature_71,0.0
feature_70,0.0
feature_68,0.0
feature_67,0.0
feature_66,0.0
feature_65,0.0
feature_63,0.0
feature_62,0.0
feature_44,0.0
feature_61,0.0
feature_58,0.0
feature_57,0.0
feature_56,0.0
feature_54,0.0
feature_53,0.0
feature_52,0.0
feature_50,0.0
feature_49,0.0
feature_48,0.0
feature_47,0.0
feature_46,0.0
feature_59,0.0
feature_153,0.0
feature_134,0.0
feature_155,0.0
feature_192,0.0
feature_222,0.0
feature_191,0.0
feature_223,0.0
feature_190,0.0
feature_224,0.0
feature_225,0.0
feature_193,0.0
feature_189,0.0
feature_188,0.0
feature_187,0.0
feature_229,0.0
feature_230,0.0
feature_232,0.0
feature_186,0.0
feature_185,0.0
feature_227,0.0
feature_194,0.0
feature_221,0.0
feature_195,0.0
feature_206,0.0
feature_205,0.0
feature_154,0.0
feature_209,0.0
feature_203,0.0
feature_210,0.0
feature_211,0.0
feature_212,0.0
feature_213,0.0
feature_216,0.0
feature_217,0.0
feature_202,0.0
feature_201,0.0
feature_200,0.0
feature_199,0.0
feature_197,0.0
feature_220,0.0
feature_184,0.0
feature_207,0.0
feature_234,0.0
feature_236,0.0
feature_165,0.0
feature_164,0.0
feature_245,0.0
feature_246,0.0
feature_247,0.0
feature_163,0.0
feature_248,0.0
feature_166,0.0
feature_249,0.0
feature_251,0.0
feature_252,0.0
feature_159,0.0
feature_158,0.0
feature_253,0.0
feature_157,0.0
feature_254,0.0
feature_161,0.0
feature_244,0.0
feature_243,0.0
feature_242,0.0
feature_182,0.0
feature_181,0.0
feature_180,0.0
feature_238,0.0
feature_179,0.0
feature_178,0.0
feature_177,0.0
feature_176,0.0
feature_175,0.0
feature_174,0.0
feature_239,0.0
feature_172,0.0
feature_241,0.0
feature_171,0.0
feature_170,0.0
feature_168,0.0
feature_167,0.0
feature_183,0.0
feature_208,0.0
feature_1,1.485421558866662e-07
feature_55,1.6900470322323003e-06
feature_162,1.818832614963739e-06
feature_279,2.2895419363733183e-06
feature_77,4.487703881594918e-06
feature_308,6.546437951193695e-06
feature_322,1.65676793238978e-05
feature_135,2.398120768039025e-05
feature_27,2.7270695471837138e-05
feature_502,3.277100203542549e-05
feature_483,5.353964967411695e-05
feature_29,5.920644757879678e-05
feature_327,8.050177461005337e-05
feature_273,8.935890706407434e-05
feature_283,9.592957148643055e-05
feature_387,0.00012908668775699628
feature_215,0.00015578587023794553
feature_196,0.00016838797423648355
feature_439,0.00016868363228472738
feature_18,0.00018812162495216445
feature_516,0.0002561820814439564
feature_286,0.0003177899981681165
feature_509,0.0003181862584977102
feature_347,0.00033404447788298874
feature_461,0.0003507844284092565
feature_336,0.0003633318133036578
feature_409,0.00044504625125341146
feature_421,0.00045131016813193536
feature_23,0.00047458801192057365
feature_160,0.0004899711305506704
feature_107,0.0005242108010914626
feature_64,0.0005317140284382571
feature_19,0.0005356874271703171
feature_376,0.0005489050375331317
feature_314,0.00054909903618654
feature_103,0.0005619142690179268
feature_140,0.0005634901565004791
feature_106,0.0005995025711338142
feature_219,0.0006458113148053446
feature_442,0.0006538076176037411
feature_101,0.0006790292981543767
feature_118,0.0006901700621632978
feature_496,0.0006983405838254075
feature_302,0.0007803142914013517
feature_141,0.0008028222660818374
feature_218,0.0008484769406727378
feature_453,0.0009330249988202422
feature_363,0.0010428181331309406
feature_357,0.0010868013031224422
feature_441,0.0011534341570691442
feature_60,0.0011808403722867178
feature_506,0.0012074920001090117
feature_278,0.0012322678631256246
feature_352,0.0013324318075601748
feature_383,0.0013522706827347574
feature_282,0.0013817192122171028
feature_457,0.0016711117420927346
feature_303,0.001712940021972753
feature_156,0.001756245802547207
feature_31,0.001823197447758207
feature_396,0.0018408471755668066
feature_440,0.0019865315825020823
feature_82,0.0020302168672223344
feature_272,0.002171590633649134
feature_250,0.002299198248113821
feature_468,0.0024860534065237914
feature_237,0.002728011836564881
feature_491,0.004557406285937482
feature_96,0.007466946663248719
feature_204,0.01011779086320499
feature_108,0.013080074770066674
feature_486,0.020680420656372166
