feature,mean_importance
feature_319,-0.011373006187063606
feature_136,-0.006251072117707701
feature_492,-0.005502250047821411
feature_64,-0.0049651832788871085
feature_27,-0.004962266166176632
feature_45,-0.0036281192407549233
feature_486,-0.0035121212780654166
feature_137,-0.0033521249553331023
feature_30,-0.0029893303809689574
feature_123,-0.002876150088163798
feature_47,-0.002867015408527318
feature_363,-0.002659626393626646
feature_67,-0.002512042818476279
feature_113,-0.0024519389306868478
feature_174,-0.0024397980773106067
feature_233,-0.001799708064515304
feature_512,-0.0017521729509946792
feature_193,-0.001751184599841049
feature_108,-0.001739899829087088
feature_327,-0.00172642366220761
feature_56,-0.001676797972548516
feature_263,-0.0016745467606922525
feature_130,-0.0015892144420865061
feature_46,-0.0015787436405043209
feature_223,-0.0015242331365183047
feature_285,-0.0015098083572976373
feature_240,-0.0015016959353950643
feature_480,-0.001496753738825518
feature_334,-0.001482830480023445
feature_83,-0.0013961865389930494
feature_494,-0.001385055068532326
feature_151,-0.001371206603834918
feature_226,-0.0013403969612325374
feature_42,-0.0013038513870347712
feature_331,-0.001235486020888721
feature_465,-0.0012121385724355171
feature_191,-0.0011944956343338474
feature_316,-0.0011246747463751205
feature_278,-0.0011184405651827323
feature_292,-0.001092209270325961
feature_491,-0.0010843724412419986
feature_318,-0.0010770941094464526
feature_81,-0.0010393779989292362
feature_41,-0.0010332815806709972
feature_98,-0.0010274390942681456
feature_74,-0.0010271914730837662
feature_489,-0.0009736432160119213
feature_445,-0.0009701957910666304
feature_35,-0.0009668825783039292
feature_28,-0.0009412601450225599
feature_141,-0.0009320142229521267
feature_283,-0.0009314294197467099
feature_338,-0.0008964264213194406
feature_9,-0.0008918185869303041
feature_513,-0.0008874924085435998
feature_289,-0.0008763650928222067
feature_498,-0.0008712350493568222
feature_241,-0.0008641673558656082
feature_502,-0.0008536054156589757
feature_157,-0.0008389679061086453
feature_405,-0.0008309866633371188
feature_176,-0.0008269623898348843
feature_472,-0.0008185591182858998
feature_109,-0.0007977459079666849
feature_140,-0.0007926590924748345
feature_493,-0.0007762367785153045
feature_161,-0.0007551825829948067
feature_20,-0.0007308207200563466
feature_330,-0.0007207808965632001
feature_131,-0.0007197627722541177
feature_87,-0.0007100891711389279
feature_362,-0.0007084964939781501
feature_490,-0.0006826615341591014
feature_152,-0.000673612489647124
feature_355,-0.0006530033717585982
feature_476,-0.0006368995451298875
feature_60,-0.0006364474707856171
feature_372,-0.0006210704204957729
feature_38,-0.0006194021820532303
feature_381,-0.0006152555261488057
feature_271,-0.0006146960593631512
feature_62,-0.0005950637954071469
feature_481,-0.0005897079452261255
feature_236,-0.0005824060030661604
feature_53,-0.0005785724072370213
feature_264,-0.0005776253044755153
feature_12,-0.000575570621107535
feature_257,-0.0005631385363536135
feature_36,-0.0005628128355681828
feature_410,-0.0005578606887454374
feature_126,-0.0005540258787010144
feature_23,-0.0005507414402530885
feature_261,-0.0005475603674861996
feature_466,-0.0005262323963623805
feature_412,-0.0005014318503119508
feature_215,-0.0004953974535596428
feature_143,-0.0004792112385461289
feature_104,-0.0004652652450675143
feature_243,-0.0004604070721752285
feature_439,-0.00045751155890187966
feature_385,-0.00043834059168228466
feature_214,-0.0004203263427185799
feature_342,-0.0004037129774475012
feature_348,-0.00039822824106059416
feature_15,-0.0003848408680340532
feature_345,-0.0003829818738379842
feature_483,-0.000374259374431829
feature_112,-0.0003694906374268614
feature_364,-0.0003644480875892864
feature_179,-0.00035732432444439687
feature_306,-0.0003534871968010167
feature_443,-0.00034987430003439177
feature_432,-0.0003493082348865029
feature_234,-0.000345834420789326
feature_482,-0.00033264104825256877
feature_172,-0.0003324562531329178
feature_377,-0.00033056903870851693
feature_189,-0.00033051683646925236
feature_192,-0.00031875755461854285
feature_173,-0.0003152982815797456
feature_360,-0.00030766847702639043
feature_8,-0.0003048382503313851
feature_165,-0.00030411757977126807
feature_495,-0.0002927006250532216
feature_359,-0.0002891192373583928
feature_2,-0.0002879702597939904
feature_262,-0.0002837876533352768
feature_90,-0.00028190927237208284
feature_344,-0.0002710252298560922
feature_227,-0.00026965025586263015
feature_129,-0.00025841595764777294
feature_521,-0.0002567578305203044
feature_247,-0.00025529390104894745
feature_426,-0.00024048591504819417
feature_255,-0.0002331410399074141
feature_125,-0.00023002465814006
feature_450,-0.00022523856323244384
feature_148,-0.00022231518745334798
feature_149,-0.00022134799396287264
feature_273,-0.00021130095263011128
feature_324,-0.00020327906507147108
feature_239,-0.00019864434248291208
feature_116,-0.00019383166830346798
feature_195,-0.00018937747638785306
feature_379,-0.00018735017603623838
feature_202,-0.0001853180399516985
feature_230,-0.00017831173232871756
feature_158,-0.00017476769035480456
feature_284,-0.00017093202117328675
feature_197,-0.0001662846254823158
feature_459,-0.00016025949926714577
feature_510,-0.00016014907342645212
feature_122,-0.0001577170805835193
feature_307,-0.00015436386251492794
feature_449,-0.0001483413847425119
feature_54,-0.000144725437141191
feature_71,-0.0001424166388187986
feature_406,-0.0001408772310187434
feature_146,-0.00014026964153248666
feature_24,-0.00013834662831428978
feature_251,-0.00013675156268762035
feature_417,-0.00012703925499890634
feature_300,-0.00012449056677612535
feature_517,-0.00012439887737776268
feature_398,-0.0001213422478642423
feature_343,-0.0001197600689254008
feature_40,-0.00011706828031936567
feature_94,-0.00011443695551320854
feature_76,-0.00011265498621828573
feature_313,-0.00011052582803676714
feature_171,-9.399648773769086e-05
feature_456,-7.479036106854409e-05
feature_317,-7.106666349572243e-05
feature_93,-7.012467622093954e-05
feature_6,-6.489812767997982e-05
feature_277,-5.9837920976324456e-05
feature_272,-5.927535424437025e-05
feature_270,-5.843538762262401e-05
feature_337,-5.813166365218336e-05
feature_7,-5.5208469601608634e-05
feature_85,-5.1117563891245335e-05
feature_52,-4.679006380301498e-05
feature_245,-4.6788974594602625e-05
feature_478,-4.3053149635619016e-05
feature_266,-3.8873777813508424e-05
feature_446,-3.373762700304983e-05
feature_159,-3.109450295735172e-05
feature_395,-2.921420805572783e-05
feature_97,-2.5275724027351566e-05
feature_353,-1.7053839791336678e-05
feature_199,-1.357578310425822e-05
feature_121,-1.1022819927775097e-05
feature_92,-1.0958043236231063e-05
feature_187,-8.047994792170776e-06
feature_13,-4.480087087732621e-06
feature_21,-3.713350306244756e-06
feature_509,-1.0968959635704323e-06
feature_308,0.0
feature_312,0.0
feature_505,0.0
feature_73,0.0
feature_287,0.0
feature_304,0.0
feature_301,0.0
feature_508,0.0
feature_500,0.0
feature_286,0.0
feature_280,0.0
feature_276,0.0
feature_511,0.0
feature_275,0.0
feature_515,0.0
feature_268,0.0
feature_305,0.0
feature_326,0.0
feature_361,0.0
feature_69,0.0
feature_428,0.0
feature_430,0.0
feature_37,0.0
feature_435,0.0
feature_437,0.0
feature_34,0.0
feature_33,0.0
feature_448,0.0
feature_18,0.0
feature_484,0.0
feature_458,0.0
feature_19,0.0
feature_464,0.0
feature_471,0.0
feature_25,0.0
feature_425,0.0
feature_70,0.0
feature_422,0.0
feature_415,0.0
feature_332,0.0
feature_65,0.0
feature_346,0.0
feature_350,0.0
feature_58,0.0
feature_358,0.0
feature_499,0.0
feature_50,0.0
feature_49,0.0
feature_497,0.0
feature_380,0.0
feature_48,0.0
feature_259,0.0
feature_400,0.0
feature_39,0.0
feature_416,0.0
feature_382,0.0
feature_133,0.0
feature_144,0.0
feature_177,0.0
feature_110,0.0
feature_181,0.0
feature_220,0.0
feature_232,0.0
feature_183,0.0
feature_184,0.0
feature_185,0.0
feature_186,0.0
feature_134,0.0
feature_188,0.0
feature_145,0.0
feature_201,0.0
feature_224,0.0
feature_128,0.0
feature_101,0.0
feature_135,0.0
feature_111,0.0
feature_242,0.0
feature_182,0.0
feature_115,0.0
feature_150,0.0
feature_166,0.0
feature_117,0.0
feature_124,0.0
feature_120,0.0
feature_249,0.0
feature_438,2.2204460492503132e-17
feature_389,2.2204460492503132e-17
feature_194,2.2204460492503132e-17
feature_378,2.2204460492503132e-17
feature_17,2.2204460492503132e-17
feature_14,2.2204460492503132e-17
feature_138,2.2204460492503132e-17
feature_142,2.2204460492503132e-17
feature_55,2.2204460492503132e-17
feature_3,2.2204460492503132e-17
feature_213,2.2204460492503132e-17
feature_10,2.2204460492503132e-17
feature_218,2.2204460492503132e-17
feature_323,2.2204460492503132e-17
feature_367,2.2204460492503132e-17
feature_393,2.2204460492503132e-17
feature_403,2.2204460492503132e-17
feature_401,2.2204460492503132e-17
feature_433,2.2204460492503132e-17
feature_170,2.2204460492503132e-17
feature_431,2.2204460492503132e-17
feature_429,2.2204460492503132e-17
feature_452,2.2204460492503132e-17
feature_424,2.2204460492503132e-17
feature_423,2.2204460492503132e-17
feature_396,2.2204460492503132e-17
feature_462,2.2204460492503132e-17
feature_475,2.2204460492503132e-17
feature_413,2.2204460492503132e-17
feature_479,2.2204460492503132e-17
feature_155,2.2204460492503132e-17
feature_411,2.2204460492503132e-17
feature_485,2.2204460492503132e-17
feature_43,2.2204460492503132e-17
feature_163,2.2204460492503132e-17
feature_321,2.2204460492503132e-17
feature_1,2.2204460492503132e-17
feature_95,2.2204460492503132e-17
feature_225,2.2204460492503132e-17
feature_297,2.2204460492503132e-17
feature_311,2.2204460492503132e-17
feature_281,2.2204460492503132e-17
feature_265,2.2204460492503132e-17
feature_518,2.2204460492503132e-17
feature_252,2.2204460492503132e-17
feature_303,2.2204460492503132e-17
feature_229,2.2204460492503132e-17
feature_228,2.2204460492503132e-17
feature_89,2.2204460492503132e-17
feature_288,2.2204460492503132e-17
feature_315,2.2204460492503132e-17
feature_309,2.2204460492503132e-17
feature_519,2.2204460492503132e-17
feature_78,2.2204460492503132e-17
feature_88,2.2204460492503132e-17
feature_235,4.4408920985006264e-17
feature_399,4.4408920985006264e-17
feature_298,4.4408920985006264e-17
feature_204,4.4408920985006264e-17
feature_421,4.4408920985006264e-17
feature_216,4.4408920985006264e-17
feature_339,4.4408920985006264e-17
feature_80,4.4408920985006264e-17
feature_180,4.4408920985006264e-17
feature_335,4.4408920985006264e-17
feature_333,4.4408920985006264e-17
feature_75,4.4408920985006264e-17
feature_408,4.4408920985006264e-17
feature_487,6.661338147750939e-17
feature_68,6.661338147750939e-17
feature_254,6.661338147750939e-17
feature_269,8.881784197001253e-17
feature_119,1.2340489027984348e-06
feature_175,9.178241705298796e-06
feature_32,9.654582141527257e-06
feature_61,1.0596860135403396e-05
feature_118,1.1589336178174925e-05
feature_139,1.2662109172456582e-05
feature_501,1.53077614236663e-05
feature_178,1.808510890271009e-05
feature_451,2.140072136334048e-05
feature_329,2.938739885312014e-05
feature_208,3.444884855547947e-05
feature_26,3.8898399223930016e-05
feature_72,4.030009400850521e-05
feature_51,4.9145346858670005e-05
feature_258,4.9803741807696864e-05
feature_320,5.5502832694642736e-05
feature_190,5.8270680859839885e-05
feature_340,6.17229421164378e-05
feature_455,6.331941826123177e-05
feature_206,6.47552426110698e-05
feature_469,6.517287747969114e-05
feature_460,7.084072828356103e-05
feature_473,7.772211881296176e-05
feature_244,8.942113331971147e-05
feature_516,9.063626534251412e-05
feature_167,9.071497609276502e-05
feature_84,9.318046402018165e-05
feature_496,9.527500491506302e-05
feature_222,9.929598300155718e-05
feature_418,0.00011446886689927548
feature_212,0.0001175723598322076
feature_211,0.00012030206641080454
feature_436,0.00012410080812010892
feature_467,0.00012445985211684274
feature_506,0.00012694198656557632
feature_205,0.00012697860775880975
feature_77,0.00012700937564753546
feature_453,0.00012961587849129596
feature_386,0.00013166585711639202
feature_394,0.00014156437978496417
feature_63,0.00014540261170561397
feature_86,0.00015579338475988359
feature_507,0.0001645096893460929
feature_384,0.00017004117760068826
feature_470,0.00017080535927296303
feature_282,0.00017122108975180516
feature_463,0.00017125969626570204
feature_351,0.0001736064826560302
feature_366,0.00017413621346804576
feature_219,0.00017562046911598906
feature_231,0.00017931607360286428
feature_16,0.0001841228917456972
feature_387,0.00019132451603915969
feature_322,0.0001976556037821542
feature_336,0.00020598302370229417
feature_370,0.00021722388069107535
feature_391,0.00022548194400948685
feature_328,0.000230777565546747
feature_209,0.00023970551251890627
feature_373,0.0002432775585143432
feature_504,0.000255477455254427
feature_238,0.00025972980599260344
feature_414,0.0002632744886988503
feature_402,0.0002655251250161195
feature_248,0.00027061916114314857
feature_100,0.00029200872644803423
feature_5,0.0002936443612733708
feature_397,0.00029950442006783097
feature_409,0.000303882303436942
feature_357,0.0003114665249279058
feature_91,0.0003131305004497209
feature_457,0.0003132605777066644
feature_365,0.00032295917416733653
feature_296,0.0003311209004268845
feature_154,0.0003396348160010998
feature_461,0.00034173995288031553
feature_444,0.0003467265464657032
feature_274,0.00036756730355005376
feature_29,0.00036817049665620604
feature_169,0.00037026370828914247
feature_369,0.00037880165012893485
feature_57,0.0004018237985981443
feature_419,0.0004025899901602292
feature_352,0.00040385494347752184
feature_200,0.00041514064520189466
feature_160,0.00041670889121683265
feature_474,0.00041789817562851714
feature_488,0.00042044264428082735
feature_314,0.0004244453909896251
feature_162,0.00043169157081230926
feature_267,0.0004355247414070229
feature_503,0.0004416079256607475
feature_22,0.0004610004919425537
feature_44,0.0004698731518108179
feature_147,0.0004785181592910748
feature_290,0.00048480954107443797
feature_295,0.000492616799890544
feature_210,0.0005020681860858466
feature_514,0.0005058133404321375
feature_198,0.0005079551409763905
feature_468,0.0005087845444412542
feature_164,0.00051020747203403
feature_217,0.0005121044149073884
feature_79,0.0005213965945762844
feature_404,0.0005525327673509883
feature_341,0.0005580730459694427
feature_310,0.000563552399505829
feature_196,0.0005858872246158109
feature_407,0.0005979946314080386
feature_390,0.000655097415929684
feature_434,0.0006810131638533612
feature_279,0.0006825027248895
feature_454,0.0006849256060761588
feature_66,0.0007322477715121067
feature_356,0.0007500051403098284
feature_520,0.0007596378202433085
feature_477,0.0007639107740853746
feature_420,0.0007755453509473264
feature_99,0.0007959116962578782
feature_375,0.0008121257478615806
feature_105,0.0008156805994250949
feature_237,0.0008267228492067957
feature_371,0.0008418431998372222
feature_442,0.0008790834526375635
feature_302,0.0008830006731770146
feature_82,0.0008883717237523792
feature_107,0.0009079161027727878
feature_260,0.0009079599280246598
feature_106,0.0009276067724531378
feature_294,0.00092761218255899
feature_96,0.0009368252791268183
feature_221,0.0009446762978765566
feature_156,0.0009526877777812359
feature_256,0.0009661250565013768
feature_114,0.0009865905475129333
feature_427,0.0010619958243478279
feature_4,0.001072637642599772
feature_103,0.0010746368691414432
feature_250,0.0010862444352719657
feature_102,0.0011435439978454865
feature_392,0.001167456647911891
feature_153,0.0012306292762150005
feature_325,0.0012583216907438022
feature_354,0.0012856810747516434
feature_347,0.0013153080853233856
feature_253,0.0014140073447766355
feature_31,0.00154995298049474
feature_383,0.001587460349327241
feature_168,0.001677913803123099
feature_376,0.001740546123703579
feature_132,0.001762472036027285
feature_293,0.001775754921283279
feature_59,0.0017780575845593115
feature_374,0.0018773368645413457
feature_203,0.0018958271030405705
feature_388,0.001997040589414656
feature_207,0.002086657069853426
feature_291,0.0021560650391023507
feature_299,0.0021675615321116613
feature_11,0.002200359575900235
feature_349,0.002371906724443207
feature_246,0.0024025011475362623
feature_441,0.0025063986921384897
feature_127,0.0025996289127945714
feature_447,0.002684273179540275
feature_440,0.002804557563259058
feature_368,0.003354919449732874
