feature,mean_importance
feature_27,-0.007036666075388576
feature_340,-0.005764660973479785
feature_75,-0.005578751451727282
feature_468,-0.0046051237030305895
feature_502,-0.004103774091471802
feature_261,-0.0038581167442211183
feature_492,-0.0037232007669366187
feature_41,-0.0035749657430510506
feature_240,-0.003556848565737414
feature_251,-0.0033648150554601575
feature_150,-0.0032751704471698727
feature_488,-0.0032207640184872544
feature_393,-0.003195551426514309
feature_15,-0.002934635203817604
feature_256,-0.0028490011242852777
feature_433,-0.002554271791292284
feature_518,-0.00247090908064358
feature_236,-0.0021896746711454586
feature_503,-0.0021663441174272213
feature_162,-0.002155606643013308
feature_512,-0.0020873553511025376
feature_241,-0.0019588826359182134
feature_385,-0.0018964718217435062
feature_134,-0.001731140198914871
feature_447,-0.0016943199910979256
feature_77,-0.001673106870789498
feature_62,-0.0015302048213239993
feature_121,-0.00142762522766553
feature_228,-0.0014231942702030765
feature_406,-0.0014167619788128193
feature_346,-0.001379227983778808
feature_42,-0.0012823262940282465
feature_130,-0.0012293153914852751
feature_290,-0.0010880818401557857
feature_235,-0.0010252753893534416
feature_410,-0.0009134537931801523
feature_4,-0.0008879342804784418
feature_114,-0.0008186375749283936
feature_389,-0.0007714322511700678
feature_461,-0.0007666671621626708
feature_420,-0.0007441220076187749
feature_353,-0.0006677059159762688
feature_403,-0.0006472172944442134
feature_105,-0.0005162017932836438
feature_514,-0.0004938588626142825
feature_115,-0.0004658352637636476
feature_493,-0.0004624280376710699
feature_424,-0.00041958231856857874
feature_436,-0.0003907998402913115
feature_26,-0.0003836500039999358
feature_111,-0.0003513298172881596
feature_238,-0.000332514272219897
feature_172,-0.0003139889758566161
feature_60,-0.00024328512558038362
feature_104,-0.00023018674574035725
feature_366,-0.00012023077494855982
feature_210,-8.277003315908527e-05
feature_120,-7.550543633061402e-05
feature_227,-6.954341694929145e-05
feature_53,-6.24824261319823e-05
feature_400,-3.4691717313672934e-05
feature_258,-8.439672166016265e-06
feature_273,-6.278355916267131e-07
feature_347,0.0
feature_337,0.0
feature_344,0.0
feature_345,0.0
feature_342,0.0
feature_341,0.0
feature_339,0.0
feature_338,0.0
feature_343,0.0
feature_282,0.0
feature_349,0.0
feature_372,0.0
feature_268,0.0
feature_371,0.0
feature_370,0.0
feature_367,0.0
feature_365,0.0
feature_269,0.0
feature_364,0.0
feature_362,0.0
feature_361,0.0
feature_359,0.0
feature_358,0.0
feature_270,0.0
feature_357,0.0
feature_271,0.0
feature_355,0.0
feature_354,0.0
feature_335,0.0
feature_352,0.0
feature_351,0.0
feature_350,0.0
feature_348,0.0
feature_334,0.0
feature_325,0.0
feature_332,0.0
feature_301,0.0
feature_299,0.0
feature_298,0.0
feature_274,0.0
feature_297,0.0
feature_296,0.0
feature_295,0.0
feature_294,0.0
feature_293,0.0
feature_292,0.0
feature_291,0.0
feature_302,0.0
feature_289,0.0
feature_276,0.0
feature_288,0.0
feature_287,0.0
feature_277,0.0
feature_278,0.0
feature_279,0.0
feature_281,0.0
feature_286,0.0
feature_285,0.0
feature_284,0.0
feature_283,0.0
feature_275,0.0
feature_333,0.0
feature_303,0.0
feature_305,0.0
feature_330,0.0
feature_329,0.0
feature_328,0.0
feature_326,0.0
feature_324,0.0
feature_323,0.0
feature_321,0.0
feature_320,0.0
feature_319,0.0
feature_318,0.0
feature_317,0.0
feature_304,0.0
feature_316,0.0
feature_272,0.0
feature_314,0.0
feature_373,0.0
feature_313,0.0
feature_312,0.0
feature_311,0.0
feature_310,0.0
feature_309,0.0
feature_308,0.0
feature_307,0.0
feature_306,0.0
feature_315,0.0
feature_374,0.0
feature_399,0.0
feature_376,0.0
feature_480,0.0
feature_479,0.0
feature_478,0.0
feature_477,0.0
feature_476,0.0
feature_475,0.0
feature_474,0.0
feature_473,0.0
feature_472,0.0
feature_471,0.0
feature_470,0.0
feature_467,0.0
feature_465,0.0
feature_464,0.0
feature_463,0.0
feature_462,0.0
feature_460,0.0
feature_459,0.0
feature_458,0.0
feature_456,0.0
feature_455,0.0
feature_454,0.0
feature_453,0.0
feature_481,0.0
feature_482,0.0
feature_483,0.0
feature_484,0.0
feature_519,0.0
feature_517,0.0
feature_516,0.0
feature_515,0.0
feature_513,0.0
feature_511,0.0
feature_510,0.0
feature_509,0.0
feature_508,0.0
feature_507,0.0
feature_506,0.0
feature_452,0.0
feature_505,0.0
feature_501,0.0
feature_500,0.0
feature_499,0.0
feature_498,0.0
feature_497,0.0
feature_496,0.0
feature_495,0.0
feature_494,0.0
feature_490,0.0
feature_487,0.0
feature_485,0.0
feature_504,0.0
feature_451,0.0
feature_450,0.0
feature_449,0.0
feature_413,0.0
feature_412,0.0
feature_409,0.0
feature_408,0.0
feature_407,0.0
feature_405,0.0
feature_404,0.0
feature_402,0.0
feature_401,0.0
feature_267,0.0
feature_398,0.0
feature_414,0.0
feature_396,0.0
feature_391,0.0
feature_390,0.0
feature_388,0.0
feature_387,0.0
feature_386,0.0
feature_384,0.0
feature_382,0.0
feature_381,0.0
feature_380,0.0
feature_379,0.0
feature_378,0.0
feature_392,0.0
feature_375,0.0
feature_415,0.0
feature_417,0.0
feature_448,0.0
feature_446,0.0
feature_445,0.0
feature_444,0.0
feature_443,0.0
feature_442,0.0
feature_441,0.0
feature_439,0.0
feature_438,0.0
feature_437,0.0
feature_435,0.0
feature_416,0.0
feature_434,0.0
feature_431,0.0
feature_429,0.0
feature_428,0.0
feature_427,0.0
feature_426,0.0
feature_425,0.0
feature_423,0.0
feature_422,0.0
feature_421,0.0
feature_419,0.0
feature_418,0.0
feature_432,0.0
feature_266,0.0
