feature,mean_importance
feature_60,-0.012056862349991504
feature_261,-0.01067586060380481
feature_492,-0.009942881008602278
feature_250,-0.008007440933715327
feature_194,-0.0075981584765443255
feature_462,-0.007251006828750128
feature_520,-0.0060289459753959385
feature_324,-0.0059110687438715505
feature_495,-0.005615181066372732
feature_164,-0.005430765118519476
feature_262,-0.00527923177608911
feature_433,-0.004726747290452571
feature_273,-0.004429069324571944
feature_395,-0.004277883258315818
feature_511,-0.004273208362396886
feature_59,-0.004163250066790946
feature_442,-0.0040212431327994345
feature_49,-0.003746190186229814
feature_74,-0.0037088173795195357
feature_417,-0.0036965494002061837
feature_79,-0.003607668173959877
feature_50,-0.0035487012803440353
feature_121,-0.003538864614106041
feature_389,-0.0034147357469159756
feature_347,-0.0033076159002243697
feature_227,-0.0032499790182075384
feature_323,-0.003202926075349777
feature_497,-0.003172120693019398
feature_365,-0.003048588293931798
feature_109,-0.00304561732770674
feature_424,-0.0029471625865488127
feature_502,-0.0028900609941906463
feature_153,-0.0027786402599674575
feature_329,-0.00268460650720963
feature_518,-0.002673043517433071
feature_437,-0.002586174106164152
feature_126,-0.0025606915486637628
feature_512,-0.0025480163150517045
feature_420,-0.0025280479829581813
feature_217,-0.0025116456288714283
feature_140,-0.0024918707880808855
feature_513,-0.002464154027239962
feature_419,-0.002340169440880735
feature_258,-0.0021845896053912517
feature_246,-0.0021555311198531825
feature_359,-0.0021519990372817154
feature_368,-0.002075149726689962
feature_382,-0.002048623197451138
feature_70,-0.002033990342688563
feature_91,-0.0020184856861516385
feature_208,-0.0019567699998224385
feature_345,-0.0018563159118373917
feature_130,-0.001816311032755058
feature_500,-0.0017937208046624464
feature_98,-0.0017087725613133876
feature_430,-0.0016254917081437003
feature_24,-0.0016135083991871025
feature_482,-0.0015869947106197158
feature_471,-0.001586954615728775
feature_506,-0.0015598712561129212
feature_84,-0.001491756847137604
feature_421,-0.00149008671553994
feature_469,-0.0014808669522434314
feature_186,-0.0014700502694310114
feature_8,-0.001402522430382458
feature_315,-0.0013948973398675956
feature_436,-0.0013557991175667805
feature_450,-0.0013075408211510099
feature_256,-0.0012993021085046853
feature_445,-0.0012652258973152586
feature_149,-0.0012149068017060394
feature_15,-0.0012107645737096328
feature_288,-0.00114604229238342
feature_364,-0.0011019576230272498
feature_34,-0.0010636149723916243
feature_173,-0.0010446253118288728
feature_185,-0.0010236143244152674
feature_165,-0.0010172064983638763
feature_313,-0.0009573337286840067
feature_188,-0.0009525276559786411
feature_231,-0.0009298101659826585
feature_504,-0.0008662225044418382
feature_509,-0.0008594747188578778
feature_314,-0.0008376491190623669
feature_223,-0.0008345344377132635
feature_236,-0.00081063347392345
feature_193,-0.0007565071338077045
feature_378,-0.000703381522512947
feature_247,-0.000646737507126538
feature_14,-0.0006383504665065986
feature_309,-0.0006352561831607817
feature_18,-0.0006342685767775303
feature_515,-0.0006303205664780931
feature_484,-0.0006200670392088714
feature_167,-0.000615166155443303
feature_343,-0.0006006288366525725
feature_403,-0.0005861296281638228
feature_422,-0.000584080774017015
feature_499,-0.0005348931847164451
feature_367,-0.0005150112031801601
feature_388,-0.0005113219620986875
feature_115,-0.00048126061837800994
feature_47,-0.00047164459980544306
feature_26,-0.0004706595235391076
feature_240,-0.0004429519396250914
feature_128,-0.0004416458975568194
feature_311,-0.00043589635487766286
feature_384,-0.0004064767107119227
feature_283,-0.00039504177551168417
feature_129,-0.00038844682150283025
feature_131,-0.00038506045514909994
feature_464,-0.00037785432188661703
feature_92,-0.0003398282761671867
feature_104,-0.0002909412778726361
feature_408,-0.0002873224413776132
feature_474,-0.00028185644600537963
feature_397,-0.00028162848632258265
feature_147,-0.0002677724789293068
feature_175,-0.00024786953393924894
feature_31,-0.0002299018115624607
feature_235,-0.00021133307993665974
feature_266,-0.00021088857359032875
feature_252,-0.000143192985427798
feature_43,-0.00013217182549893903
feature_28,-0.00011779152891240318
feature_423,-0.00010782929174686373
feature_114,-0.00010650255753656968
feature_455,-9.135680903258337e-05
feature_438,-7.356943478720179e-05
feature_519,-5.7481112791912814e-05
feature_330,-5.45704751506948e-05
feature_488,-5.038906289351885e-05
feature_371,-3.651528139350102e-05
feature_275,0.0
feature_276,0.0
feature_281,0.0
feature_487,0.0
feature_287,0.0
feature_481,0.0
feature_391,0.0
feature_272,0.0
feature_290,0.0
feature_294,0.0
feature_297,0.0
feature_477,0.0
feature_298,0.0
feature_475,0.0
feature_473,0.0
feature_301,0.0
feature_303,0.0
feature_304,0.0
feature_478,0.0
feature_271,0.0
feature_265,0.0
feature_267,0.0
feature_239,0.0
feature_517,0.0
feature_516,0.0
feature_241,0.0
feature_242,0.0
feature_243,0.0
feature_510,0.0
feature_508,0.0
feature_507,0.0
feature_249,0.0
feature_268,0.0
feature_505,0.0
feature_253,0.0
feature_254,0.0
feature_255,0.0
feature_501,0.0
feature_257,0.0
feature_259,0.0
feature_494,0.0
feature_490,0.0
feature_489,0.0
feature_307,0.0
feature_503,0.0
feature_472,0.0
feature_463,0.0
feature_465,0.0
feature_353,0.0
feature_354,0.0
feature_356,0.0
feature_358,0.0
feature_418,0.0
feature_362,0.0
feature_415,0.0
feature_412,0.0
feature_411,0.0
feature_366,0.0
feature_352,0.0
feature_410,0.0
feature_369,0.0
feature_372,0.0
feature_404,0.0
feature_402,0.0
feature_401,0.0
feature_399,0.0
feature_373,0.0
feature_398,0.0
feature_394,0.0
feature_379,0.0
feature_409,0.0
feature_426,0.0
feature_351,0.0
feature_349,0.0
feature_390,0.0
feature_456,0.0
feature_316,0.0
feature_451,0.0
feature_319,0.0
feature_322,0.0
feature_449,0.0
feature_446,0.0
feature_327,0.0
feature_444,0.0
feature_328,0.0
feature_443,0.0
feature_441,0.0
feature_336,0.0
feature_337,0.0
feature_339,0.0
feature_341,0.0
feature_435,0.0
feature_431,0.0
feature_346,0.0
feature_429,0.0
feature_428,0.0
feature_348,0.0
feature_470,0.0
feature_392,0.0
feature_1,0.0
feature_82,0.0
feature_146,0.0
feature_148,0.0
feature_151,0.0
feature_155,0.0
feature_157,0.0
feature_158,0.0
feature_76,0.0
feature_57,0.0
feature_161,0.0
feature_81,0.0
feature_162,0.0
feature_95,0.0
feature_166,0.0
feature_144,0.0
feature_53,0.0
feature_170,0.0
feature_101,0.0
feature_44,0.0
feature_172,0.0
feature_174,0.0
feature_42,0.0
feature_177,0.0
feature_41,0.0
feature_93,0.0
feature_181,0.0
feature_40,0.0
feature_182,0.0
feature_183,0.0
feature_94,0.0
feature_37,0.0
feature_143,0.0
feature_141,0.0
feature_105,0.0
feature_106,0.0
feature_107,0.0
feature_110,0.0
feature_111,0.0
feature_112,0.0
feature_99,0.0
feature_116,0.0
feature_117,0.0
feature_118,0.0
feature_119,0.0
feature_120,0.0
feature_72,0.0
feature_61,0.0
feature_69,0.0
feature_123,0.0
feature_97,0.0
feature_124,0.0
feature_233,0.0
feature_96,0.0
feature_132,0.0
feature_133,0.0
feature_134,0.0
feature_135,0.0
feature_136,0.0
feature_137,0.0
feature_138,0.0
feature_139,0.0
feature_68,0.0
feature_36,0.0
feature_171,0.0
feature_100,0.0
feature_197,0.0
feature_214,0.0
feature_27,0.0
feature_88,0.0
feature_25,0.0
feature_213,0.0
feature_16,0.0
feature_199,0.0
feature_89,0.0
feature_209,0.0
feature_200,0.0
feature_207,0.0
feature_87,0.0
feature_86,0.0
feature_202,0.0
feature_90,0.0
feature_19,0.0
feature_203,0.0
feature_21,0.0
feature_218,0.0
feature_20,0.0
feature_229,0.0
feature_4,0.0
feature_10,0.0
feature_30,0.0
feature_32,0.0
feature_190,0.0
feature_228,0.0
feature_3,0.0
feature_230,0.0
feature_80,0.0
feature_195,0.0
feature_7,0.0
feature_220,0.0
feature_225,0.0
feature_85,0.0
feature_224,0.0
feature_459,9.657010708430392e-07
feature_350,6.23149698820713e-05
feature_12,7.954963216063592e-05
feature_332,0.00010784078154491006
feature_45,0.0001253887573561263
feature_6,0.00014640716722378322
feature_284,0.00014749532475213378
feature_496,0.00022873396675993085
feature_387,0.0002351701486425828
feature_405,0.00024461961198778414
feature_454,0.0002702486799748494
feature_211,0.0002919058939252261
feature_498,0.000301894713145634
feature_71,0.00030439118798266664
feature_187,0.00033245985972489843
feature_169,0.00041184750855314254
feature_282,0.0004151644728332737
feature_286,0.0004807317244539755
feature_192,0.0004992534657944248
feature_361,0.0005141410159552384
feature_38,0.0005173448755774413
feature_206,0.0005189271080507484
feature_302,0.0005204350192507645
feature_407,0.0005360208794425114
feature_191,0.0005439805775009354
feature_355,0.0005468458502284168
feature_457,0.0005501021358367275
feature_396,0.0005605640906504838
feature_150,0.0005713692130640657
feature_56,0.0006206194002882804
feature_55,0.0006225987520412035
feature_493,0.0006392040537986476
feature_318,0.0006456660669827529
feature_5,0.000690909182520305
feature_156,0.0006920352593135614
feature_216,0.000693505315348708
feature_264,0.0006988715380385812
feature_62,0.0007304850951681096
feature_375,0.0007600472804771607
feature_400,0.0007729100222190865
feature_340,0.0007830016904520676
feature_13,0.0007924584307632543
feature_226,0.0008144639910279805
feature_270,0.0008181041182709015
feature_305,0.0008920188552343112
