feature,mean_importance
feature_258,-0.0981919144872859
feature_122,-0.09685386070391902
feature_381,-0.0833344682537243
feature_162,-0.07533676120741743
feature_2,-0.06960945527668772
feature_253,-0.06776476861297623
feature_70,-0.0616896672459859
feature_497,-0.061049790475538934
feature_43,-0.05695156629276834
feature_38,-0.05340632297972396
feature_187,-0.051051577978438886
feature_101,-0.050207427828784734
feature_517,-0.04987364443279798
feature_349,-0.047454051583909786
feature_372,-0.04665604382449571
feature_20,-0.04416210199773687
feature_198,-0.043068272516766995
feature_209,-0.04034013867604136
feature_384,-0.040322678017186586
feature_502,-0.03927608031615728
feature_261,-0.039141875424974784
feature_168,-0.03896432654330919
feature_10,-0.03872348278019899
feature_428,-0.03831821711078911
feature_26,-0.038311320984806406
feature_409,-0.03766501395431945
feature_290,-0.03748923213139861
feature_264,-0.036269461020081196
feature_443,-0.03535066136071796
feature_503,-0.034481873770403036
feature_146,-0.034068504286780585
feature_49,-0.03398984602677855
feature_424,-0.03387544389167578
feature_340,-0.03342549095250371
feature_449,-0.032969888362576416
feature_257,-0.03286120347680379
feature_228,-0.032597323938147585
feature_427,-0.03186609292053699
feature_74,-0.031816231994800506
feature_225,-0.03176237577704395
feature_312,-0.031410247358977725
feature_468,-0.03113927822478111
feature_296,-0.030582714972905566
feature_234,-0.030118520057269293
feature_67,-0.02997251929756528
feature_481,-0.02989616292299946
feature_222,-0.029399761564274218
feature_99,-0.028718120981532636
feature_433,-0.0285232191286096
feature_31,-0.028205375946935618
feature_286,-0.02803070065970914
feature_270,-0.027794029032629997
feature_54,-0.027773964877381464
feature_250,-0.027603752417780836
feature_28,-0.027476084701123858
feature_413,-0.02734837878276668
feature_411,-0.026961768312110657
feature_507,-0.02694221514031305
feature_105,-0.02688257731393673
feature_346,-0.026709467831792198
feature_453,-0.026414771971942308
feature_334,-0.026267247845951226
feature_447,-0.026154768974528775
feature_480,-0.02609122712446661
feature_295,-0.025770111808556352
feature_41,-0.025631880827949517
