feature,mean_importance
feature_441,-0.004420334519455893
feature_387,-0.003370992652752025
feature_445,-0.001721206812981313
feature_138,-0.0016766540755535741
feature_424,-0.0014580390215320315
feature_346,-0.0012638847679760311
feature_234,-0.0010833464806820682
feature_467,-0.000978438140349569
feature_14,-0.0009657273738650218
feature_343,-0.0009651544958780622
feature_42,-0.0009301292066794753
feature_109,-0.0008313202173128031
feature_20,-0.0007854195385949226
feature_175,-0.0007611659799032777
feature_199,-0.0007388318117027781
feature_179,-0.000715438425796977
feature_386,-0.0007034827145036004
feature_288,-0.0006837230226929058
feature_433,-0.0006695377098443256
feature_57,-0.0006552231097301187
feature_19,-0.0006519922330013861
feature_411,-0.0006345341189272213
feature_337,-0.0005921668948057235
feature_436,-0.000587127624887751
feature_473,-0.0005814352852300253
feature_167,-0.0005787892414249818
feature_296,-0.000576393691490229
feature_221,-0.0005563363634582208
feature_333,-0.0005448009293031353
feature_452,-0.0005198010547779574
feature_458,-0.0005174570832841008
feature_35,-0.0005137454454760659
feature_134,-0.0005031661473866578
feature_481,-0.0005005132688567837
feature_223,-0.00048720756647397946
feature_149,-0.000485011650266709
feature_242,-0.00048053987532394873
feature_306,-0.00047997224326563616
feature_161,-0.00047270321498866786
feature_123,-0.00047264237766231343
feature_450,-0.0004556712764262949
feature_324,-0.0004542929011592145
feature_312,-0.0004405778942300209
feature_262,-0.00042795187732449504
feature_83,-0.00042744309041218285
feature_226,-0.0004181828541842458
feature_287,-0.0004132653825575483
feature_245,-0.00040640966781646526
feature_106,-0.0004032184239617598
feature_366,-0.0003968033253080261
feature_410,-0.000396341224354857
feature_352,-0.00037968930353931006
feature_146,-0.000377878454491376
feature_160,-0.0003734072829361779
feature_16,-0.0003601475317984715
feature_393,-0.0003580747111733507
feature_228,-0.00035599223489912735
feature_314,-0.0003557519424490785
feature_191,-0.0003508457801510101
feature_129,-0.00034494797284108093
feature_514,-0.000344676865615412
feature_227,-0.0003405520115656424
feature_82,-0.0003388215807812678
feature_323,-0.0003375449912776052
feature_451,-0.0003299951506524401
feature_230,-0.00032830614420304994
feature_233,-0.00032173815921496816
feature_92,-0.0003137267621609929
feature_145,-0.0003119883781987021
feature_457,-0.0003064068040239842
feature_34,-0.0002955586617393591
feature_420,-0.00029355757425149066
feature_73,-0.0002867061692299888
feature_399,-0.0002852868087154903
feature_426,-0.00027833875017615475
feature_419,-0.00027477460463407597
feature_51,-0.0002697500296529265
feature_236,-0.0002674229709584308
feature_394,-0.00026658513366215606
feature_277,-0.0002657451474913808
feature_114,-0.0002651018200767297
feature_303,-0.0002614384825366578
feature_105,-0.0002589092898086509
feature_241,-0.00025537484312019296
feature_118,-0.0002539268049736476
feature_40,-0.00025355708852032867
feature_5,-0.00025048287145095215
feature_401,-0.00024654269207935453
feature_307,-0.00024325764014634376
feature_13,-0.00023862940299532732
feature_353,-0.00023784606233345773
feature_65,-0.00022928303313745068
feature_291,-0.0002180850868223505
feature_122,-0.00021805816772109133
feature_41,-0.0002174978415723894
feature_184,-0.00021651821634434133
feature_88,-0.00021013827294049658
feature_270,-0.00020973337677023806
feature_96,-0.00020863325305802148
feature_484,-0.0002050307421048725
feature_456,-0.00020478620130390813
feature_213,-0.00020362908022630855
feature_371,-0.00019307756717366065
feature_423,-0.0001806204477776907
feature_293,-0.0001787280058568541
feature_508,-0.00017406775276396225
feature_61,-0.00016633613418579607
feature_348,-0.00016455094846548057
feature_446,-0.0001637646116166902
feature_244,-0.00016232049428228646
feature_50,-0.00016161816644220118
feature_425,-0.00016019403253315635
feature_272,-0.00015995031321651697
feature_344,-0.0001575765487793701
feature_435,-0.00015405008371329742
feature_470,-0.00015204709523701786
feature_478,-0.00014808257009100157
feature_506,-0.00014787987232369736
feature_285,-0.0001463628693994412
feature_491,-0.00014199651272981396
feature_405,-0.0001412056125086769
feature_47,-0.00014079808665161674
feature_165,-0.00013957114384097747
feature_516,-0.00013751942941706564
feature_102,-0.00013547983599559998
feature_421,-0.00012969954202093347
feature_367,-0.00012899256500036315
feature_93,-0.0001251668042324239
feature_170,-0.00011736351946318724
feature_58,-0.00011699761830252786
feature_325,-0.00011639018032219006
feature_36,-0.00011614522294309815
feature_329,-0.00011334776291427318
feature_249,-0.00010840382105705703
feature_208,-0.00010498340946640816
feature_181,-9.827553940555678e-05
feature_432,-9.678071022856116e-05
feature_89,-9.623002352210364e-05
feature_308,-9.499052246313422e-05
feature_252,-9.131228545922188e-05
feature_71,-8.850638272017708e-05
feature_502,-8.83799954206621e-05
feature_404,-8.818589078884997e-05
feature_406,-8.634818629824626e-05
feature_131,-8.561077120539107e-05
feature_395,-7.995647548990626e-05
feature_372,-7.446898359035892e-05
feature_340,-7.298538635607255e-05
feature_342,-6.96036100526598e-05
feature_76,-6.510782370598989e-05
feature_204,-6.125340924212352e-05
feature_216,-6.058149763996656e-05
feature_388,-5.5149318513980636e-05
feature_174,-5.389976999619073e-05
feature_496,-5.114681941520427e-05
feature_322,-5.017062716026199e-05
feature_316,-4.5421290386404854e-05
feature_56,-4.3201634897727106e-05
feature_180,-4.1017525433373335e-05
feature_218,-3.917591118063335e-05
feature_133,-3.7094982994667626e-05
feature_90,-3.642343938041748e-05
feature_1,-3.1603771255550583e-05
feature_360,-3.1503951922884356e-05
feature_23,-2.915104756220366e-05
feature_177,-2.8849469904157487e-05
feature_382,-2.6670628523506323e-05
feature_30,-2.5283987061630597e-05
feature_271,-2.3285912355763826e-05
feature_511,-2.1091208814372208e-05
feature_139,-1.861651344738924e-05
feature_214,-1.6576896640252414e-05
feature_265,-1.3569044898664729e-05
feature_196,-9.929165200683876e-06
feature_52,-9.478323463318894e-06
feature_192,-2.838748980460437e-06
feature_497,-2.0439421646312184e-06
feature_187,-1.8349593354116677e-06
feature_141,-1.259688942489845e-06
feature_428,-5.323369403065215e-07
feature_63,-1.6009102852265755e-07
feature_362,-7.229896408222913e-08
feature_254,-2.2204460492503132e-17
feature_268,0.0
feature_416,0.0
feature_317,0.0
feature_284,0.0
feature_43,0.0
feature_400,0.0
feature_75,0.0
feature_453,0.0
feature_116,0.0
