feature,mean_importance
feature_258,-0.00829243789548455
feature_360,-0.006125267951384817
feature_347,-0.003971251543017362
feature_469,-0.003641048462494534
feature_355,-0.0035241941610971495
feature_27,-0.0033489801745483438
feature_150,-0.003169973950455085
feature_511,-0.002919878389524344
feature_340,-0.0025633558846902106
feature_256,-0.0024667690629544214
feature_251,-0.0021120980166006607
feature_209,-0.0020547230174575715
feature_159,-0.0018611691136290575
feature_168,-0.0015890939512114288
feature_201,-0.0011863920135774197
feature_436,-0.001170326834139579
feature_240,-0.0008776159390158966
feature_60,-0.0006639224895532258
feature_172,-0.0006297655727552032
feature_91,-0.0005542339622110371
feature_111,-0.0005102733771005896
feature_280,-0.0004167801228121881
feature_390,-0.0003901285537774468
feature_75,-0.0003268610740053246
feature_248,-0.0002824303032694875
feature_26,-0.00023259244103359666
feature_166,-0.00010874435521550652
feature_140,-9.829168734341032e-05
feature_303,-4.9033545065579887e-05
feature_404,-4.524268965786504e-05
feature_480,-3.5854526188039415e-05
feature_343,0.0
feature_345,0.0
feature_328,0.0
feature_346,0.0
feature_342,0.0
feature_336,0.0
feature_329,0.0
feature_330,0.0
feature_335,0.0
feature_332,0.0
feature_339,0.0
feature_333,0.0
feature_338,0.0
feature_337,0.0
feature_334,0.0
feature_341,0.0
feature_331,0.0
feature_1,0.0
feature_349,0.0
feature_378,0.0
feature_377,0.0
feature_375,0.0
feature_373,0.0
feature_372,0.0
feature_371,0.0
feature_370,0.0
feature_369,0.0
feature_368,0.0
feature_367,0.0
feature_366,0.0
feature_365,0.0
feature_364,0.0
feature_362,0.0
feature_361,0.0
feature_359,0.0
feature_358,0.0
feature_357,0.0
feature_354,0.0
feature_327,0.0
feature_352,0.0
feature_351,0.0
feature_350,0.0
feature_348,0.0
feature_353,0.0
feature_320,0.0
feature_325,0.0
feature_289,0.0
feature_288,0.0
feature_287,0.0
feature_286,0.0
feature_285,0.0
feature_284,0.0
feature_283,0.0
feature_282,0.0
feature_281,0.0
feature_279,0.0
feature_278,0.0
feature_277,0.0
feature_291,0.0
feature_276,0.0
feature_274,0.0
feature_273,0.0
feature_272,0.0
feature_271,0.0
feature_270,0.0
feature_269,0.0
feature_268,0.0
feature_267,0.0
feature_266,0.0
feature_265,0.0
feature_264,0.0
feature_263,0.0
feature_275,0.0
feature_326,0.0
feature_292,0.0
feature_294,0.0
feature_324,0.0
feature_323,0.0
feature_322,0.0
feature_321,0.0
feature_379,0.0
feature_319,0.0
feature_318,0.0
feature_317,0.0
feature_316,0.0
feature_315,0.0
feature_314,0.0
feature_313,0.0
feature_293,0.0
feature_312,0.0
feature_310,0.0
feature_309,0.0
feature_308,0.0
feature_307,0.0
feature_306,0.0
feature_302,0.0
feature_301,0.0
feature_299,0.0
feature_298,0.0
feature_297,0.0
feature_296,0.0
feature_295,0.0
feature_311,0.0
feature_380,0.0
feature_388,0.0
feature_382,0.0
feature_484,0.0
feature_483,0.0
feature_482,0.0
feature_481,0.0
feature_479,0.0
feature_478,0.0
feature_477,0.0
feature_476,0.0
feature_475,0.0
feature_474,0.0
feature_473,0.0
feature_472,0.0
feature_471,0.0
feature_470,0.0
feature_468,0.0
feature_467,0.0
feature_466,0.0
feature_465,0.0
feature_464,0.0
feature_463,0.0
feature_462,0.0
feature_460,0.0
feature_459,0.0
feature_458,0.0
feature_456,0.0
feature_455,0.0
feature_454,0.0
feature_485,0.0
feature_453,0.0
feature_486,0.0
feature_488,0.0
feature_519,0.0
